,AI Engineer,Account Executive,Account Manager,Architect,Business Analyst,Business Development Manager,Civil Engineer,Cloud Engineer,Consultant,Cost Engineer,Cybersecurity Analyst,Data Analyst,Data Engineer,Data Scientist,DevOps Engineer,Electrical Engineer,Field Service Engineer,Financial Analyst,HR Specialist,IT Support Specialist,Mechanical Engineer,Network Engineer,Planning Engineer,Process Engineer,Product Manager,Project Engineer,Project Manager,QA Engineer,Quality Engineer,Quantity Surveyor,Sales Engineer,Sales Manager,Sales Representative,Software Engineer,Solution Architect,Structural Engineer,Systems Engineer
Planning Engineer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Process Engineer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0
Product Manager,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Project Engineer,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,1,0,0,1,0,0,1,0
Project Manager,0,0,0,2,0,1,3,1,3,2,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,6,45,0,1,1,0,0,1,0,1,1,1
QA Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0
Quality Engineer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
Quantity Surveyor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0
Sales Engineer,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,17,1,1,0,2,0,0
Sales Manager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,13,2,0,0,0,0
Sales Representative,1,1,2,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,9,10,0,0,0,0
Software Engineer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0
Solution Architect,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
Structural Engineer,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Systems Engineer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
