Model,Accuracy,Macro F1,Train time (s)
A) TF-IDF + LogReg,0.7899045020463847,0.7876720151107951,4
B) MiniLM emb + LogReg,0.7066848567530696,0.7022358110534656,19
C) DistilBERT fine-tuned,0.8076398362892224,0.805324663144124,54
